"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-97.13","49.89","WINNIPEG THE FORKS","5023262","2019-04-22","2019","04","22","","16.3","","3.7","","10.0","","8.0","","0.0","","","","","","0.0","","","","34","","31",""
"-97.13","49.89","WINNIPEG THE FORKS","5023262","2019-04-23","2019","04","23","","16.9","","4.2","","10.6","","7.4","","0.0","","","","","","0.1","","","","","","",""
"-97.13","49.89","WINNIPEG THE FORKS","5023262","2019-04-24","2019","04","24","","20.3","","9.4","","14.9","","3.1","","0.0","","","","","","0.0","","","","34","","32",""
"-97.13","49.89","WINNIPEG THE FORKS","5023262","2019-04-25","2019","04","25","","14.8","","3.3","","9.0","","9.0","","0.0","","","","","","0.0","","","","32","","44",""
"-97.13","49.89","WINNIPEG THE FORKS","5023262","2019-04-26","2019","04","26","","11.9","","1.9","","6.9","","11.1","","0.0","","","","","","0.0","","","","32","","35",""
"-97.13","49.89","WINNIPEG THE FORKS","5023262","2019-04-27","2019","04","27","","9.1","","-0.4","","4.3","","13.7","","0.0","","","","","","0.0","","","","","","",""
"-97.13","49.89","WINNIPEG THE FORKS","5023262","2019-04-28","2019","04","28","","8.2","","1.4","","4.8","","13.2","","0.0","","","","","","0.0","","","","","","",""
"-97.13","49.89","WINNIPEG THE FORKS","5023262","2019-04-29","2019","04","29","","6.8","","0.8","","3.8","","14.2","","0.0","","","","","","0.6","","","","","","",""
"-97.13","49.89","WINNIPEG THE FORKS","5023262","2019-04-30","2019","04","30","","7.8","","0.3","","4.0","","14.0","","0.0","","","","","","0.0","","","","","","",""
"-97.13","49.89","WINNIPEG THE FORKS","5023262","2019-05-01","2019","05","01","","7.7","","3.5","","5.6","","12.4","","0.0","","","","","","0.1","","","","","","",""
"-97.13","49.89","WINNIPEG THE FORKS","5023262","2019-05-02","2019","05","02","","15.1","","0.0","","7.6","","10.4","","0.0","","","","","","0.0","","","","","","",""
"-97.13","49.89","WINNIPEG THE FORKS","5023262","2019-05-03","2019","05","03","","14.8","","5.5","","10.1","","7.9","","0.0","","","","","","7.0","","","","","","",""
"-97.13","49.89","WINNIPEG THE FORKS","5023262","2019-05-04","2019","05","04","","13.1","","3.9","","8.5","","9.5","","0.0","","","","","","0.6","","","","25","","33",""
"-97.13","49.89","WINNIPEG THE FORKS","5023262","2019-05-05","2019","05","05","","5.3","","-0.5","","2.4","","15.6","","0.0","","","","","","0.0","","","","","","",""
"-97.13","49.89","WINNIPEG THE FORKS","5023262","2019-05-06","2019","05","06","","7.3","","-1.3","","3.0","","15.0","","0.0","","","","","","0.0","","","","","","",""
"-97.13","49.89","WINNIPEG THE FORKS","5023262","2019-05-07","2019","05","07","","14.5","","-2.2","","6.2","","11.8","","0.0","","","","","","0.0","","","","","","",""
"-97.13","49.89","WINNIPEG THE FORKS","5023262","2019-05-08","2019","05","08","","13.2","","3.4","","8.3","","9.7","","0.0","","","","","","0.0","","","","36","","34",""
"-97.13","49.89","WINNIPEG THE FORKS","5023262","2019-05-09","2019","05","09","","11.7","","0.5","","6.1","","11.9","","0.0","","","","","","0.0","","","","3","","40",""
"-97.13","49.89","WINNIPEG THE FORKS","5023262","2019-05-10","2019","05","10","","16.9","","2.0","","9.5","","8.5","","0.0","","","","","","0.0","","","","21","","34",""
